F,0.465,0.35,0.125,0.482,0.23,0.106,0.1095,6
F,0.47,0.365,0.12,0.582,0.29,0.092,0.146,8
F,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6
F,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7
F,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,9
I,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229,9
I,0.545,0.435,0.135,0.7715,0.372,0.148,0.227,8
I,0.56,0.425,0.135,0.8205,0.3715,0.185,0.236,9
I,0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165,9
M,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
M,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6
M,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8
M,0.48,0.365,0.12,0.6015,0.312,0.117,0.14,7
M,0.49,0.385,0.125,0.649,0.32,0.124,0.1695,8
M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
M,0.47,0.365,0.12,0.612,0.327,0.15,0.14,8
